Strain Name,Strain Type,Vendor Description (from PRODUCTS),Trusted Description (fill gaps),Description Source / Citation,Dominant Terpenes,Common Effects,Flavor / Aroma,Lineage / Genetics,Notes
12th Man Down,Hybrid,"This infused hybrid blunt pairs 12th Man Down with a concentrate boost for a thicker, longer-lasting session and a noticeably stronger hit. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
1:1 Blue Raspberry,,,,,,,,,
1:1 CBD Pomegranate,,,,,,,,,
1:1 Watermelon Lime + Ashwagandha,Hybrid,"A boutique-style tart, crisp lime gummy with a soft bounce, bright aroma, and a polished sugar finish worthy of a European confection counter. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. With added ashwagandha to help ease stress.",,,,,,,
1:2 Strawberry Lychee + Magnesium L-Threonate,Hybrid,"Handcrafted sweet, juicy strawberry gummies inspired by old-world confectionery, where bright fruit purée, glossy sugar, and a silky cannabis infusion come together in one irresistible chew. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:2 ratio. With added magnesium to support relaxation.",,,,,,,
1:2:2 Pineapple Passion Fruit Guava + Green Tea,Hybrid,"Soft crisp, sweet apple gummies with a farmers-market fruit character, a glossy confectioner’s finish, and a cannabis infusion folded in as smoothly as a secret family recipe. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBG to support daytime focus and clarity in a 1:2:2 ratio. For smooth, calm energy.",,,,,,,
25 Eyes,Hybrid,"This infused hybrid pre-roll wraps 25 Eyes flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — a balanced, sweet-earthy profile, with a versatile, anytime balance. A little goes a long way.",,,,,,,
25:1 CBD Zen Peppermint,,,,,,,,,
4KHD,Hybrid,"4KHD is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
4Rilla,Hybrid,"4Rilla is a hybrid flower with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
