SubmittedBy,,,,,,,,,,,,
SubmittedDate,,,,,,,,,,,,
NumberRecords,,,,,,,,,,,,
ExternalManifestIdentifier,,,,,,,,,,,,
Header Operation,,,,,,,,,,,,
TransportationType,,,,,,,,,,,,
OriginLicenseNumber,,,,,,,,,,,,
OriginLicenseePhone,,,,,,,,,,,,
OriginLicenseeEmailAddress,,,,,,,,,,,,
TransportationLicenseNumber,,,,,,,,,,,,
DriverName,,,,,,,,,,,,
DepartureDateTime,,,,,,,,,,,,
ArrivalDateTime,,,,,,,,,,,,
VIN #,,,,,,,,,,,,
VehiclePlateNumber,,,,,,,,,,,,
VehicleModel,,,,,,,,,,,,
VehicleMake,,,,,,,,,,,,
VehicleColor,,,,,,,,,,,,
DestinationLicenseNumber,,,,,,,,,,,,
DestinationLicenseePhone,,,,,,,,,,,,
DestinationLicenseeEmailAddress,,,,,,,,,,,,
InventoryExternalIdentifier,PlantExternalIdentifier,Quantity,UOM,WeightPerUnit,ServingsPerUnit,ExternalIdentifier,LabTestExternalIdentifier,CreatedBy,CreatedDate,UpdatedBy,UpdatedDate,Operation
