leafly_strain,tests,avg_cbd,avg_thc,strain_chemo,strain_category
yummy,45,46.4,7.3,3,Hybrid
acdc,733,28.5,7.7,3,Hybrid
dancehall,35,28.5,6.6,3,Hybrid
sour-tsunami,346,22.1,5.5,3,Hybrid
suzy-q,21,21.4,1.7,3,Hybrid
swiss-tsunami,12,18.7,12,3,Sativa
ringos-gift,36,15.7,8.4,3,Hybrid
charlottes-web,191,14.4,10.5,3,Sativa
harle-tsu,116,13.5,9.2,3,Hybrid
frida,16,27,13.7,2,Indica
swiss-gold,10,25.7,20.3,2,Sativa
haze-wreck,10,21.2,20.3,2,Sativa
shurman-7,12,21,15.1,2,Hybrid
remedy,189,19.3,9.7,2,Indica
canna-tsu,33,18.9,8.4,2,Hybrid
treasure-island,13,18.9,6.8,2,Hybrid
aliens-on-moonshine,163,18.8,14,2,Indica
blue-dynamite,33,17.5,12.7,2,Indica
medihaze,60,16.2,12.1,2,Sativa
cbd-kush,18,14.7,14.5,2,Hybrid
cannatonic,271,14.5,16.8,2,Hybrid
dance-world,38,13.7,24.9,2,Sativa
franks-gift,5,13.6,11.1,2,Hybrid
sweet-and-sour-widow,87,13.5,11.9,2,Indica
white-dream,8,12,19.1,2,Hybrid
hawaiian-dream,73,11.6,8.8,2,Sativa
stephen-hawking-kush,74,11.5,16.7,2,Indica
pennywise,158,11.1,15.1,2,Indica
harlequin,846,10.8,18.2,2,Sativa
grape-krush,12,10.3,21.9,2,Indica
nordle,57,9.8,12.2,2,Indica
bubblegun,15,9.1,5.1,2,Hybrid
cbd-mango-haze,8,8.4,21.8,2,Sativa
cbd-shark,5,8.3,22.3,2,Indica
raw-diesel,14,8,9.6,2,Hybrid
skunk-haze,225,7.3,16,2,Hybrid
cbd-critical-cure,26,7.1,11.2,2,Indica
jamaican-lion,15,7,19.7,2,Sativa
tesla,6,6.8,7.6,2,Hybrid
super-sour-skunk,28,5.9,11,2,Hybrid
