Id,Old Name,New Name,Notes
27865,3pk Train Wreck Snickle Fritz Cart,Grow Op Farms Phat Panda Trainwreck Cartridge 3g,renamed
27864,3pk Pineapple Upside Down Cake Snickle Fritz Cart,Grow Op Farms Phat Panda Pineapple Upside Down Cake Cartridge 3g,renamed
27863,3pk Slurricane Snickle Fritz Cart,Grow Op Farms Phat Panda Slurricane Cartridge 3g,renamed
27862,Indica - 3pk Hawaiian Zkittlez Snickle Fritz Cart,Grow Op Farms Phat Panda Hawaiian Zkittlez Cartridge 3g,renamed
27861,- 3pk Lemon Cherry Gelato Snickle Fritz Cart,Grow Op Farms Phat Panda Lemon Cherry Gelato Cartridge 3g,renamed
27860,Snicklefritz cartridge tropical slushie 1g,Grow Op Farms Snickle Fritz Tropical Slushie Cartridge 1g,renamed
27859,Snickle Fritz Cartridge Train Wreck Sativa,Grow Op Farms Snickle Fritz Trainwreck Cartridge 1g,renamed
27858,Snickle Fritz Cartridge Slurricane - 1g,Grow Op Farms Snickle Fritz Slurricane Cartridge 1g,renamed
27857,Snickle Fritz Cartridge Hawaiian Zkittlez,Grow Op Farms Snickle Fritz Hawaiian Zkittlez Cartridge 1g,renamed
27856,Snickle Fritz Cartridge Lime Sorbet,Grow Op Farms Snickle Fritz Lime Sorbet Cartridge 1g,renamed
27855,Snickle Fritz Cartridge Cherry Gelato - 1g,Grow Op Farms Snickle Fritz Cherry Gelato Cartridge 1g,renamed
27854,Platinum Flower (Trophy Wife - Platinum Line/7g),Grow Op Farms Phat Panda Trophy Wife Flower 7g,renamed
27853,Phat Panda Flower Trophy wife - 3.5g,Grow Op Farms Phat Panda Trophy Wife Flower 3.5g,renamed
27852,Platinum Flower (MAC Stomper - Platinum Line/7g),Grow Op Farms Phat Panda Mac Stomper Flower 7g,renamed
27851,Platinum Flower (MAC Stomper - Platinum Line/3.5g),Grow Op Farms Phat Panda Mac Stomper Flower 3.5g,renamed
27850,Platinum-Flower-Chronberry Crunch-Platinum Line-3.5g,Grow Op Farms Phat Panda Chronberry Crunch Flower 3.5g,renamed
27849,Phat Panda-Flower-White Gummie Bears-7g,Grow Op Farms Phat Panda White Gummie Bears Flower 7g,renamed
27848,Phat Panda Flower-White Gummie Bears-3.5g,Grow Op Farms Phat Panda Gummy Bears Flower 3.5g,renamed
27847,Phat Panda Flower Powdered Donut- 3.5g,Grow Op Farms Phat Panda Powdered Donut Flower 3.5g,renamed
27846,phat panda flower og chem 7g,Grow Op Farms Phat Panda Og Chem Flower 7g,renamed
27845,Phat Panda Flower OG Chem 3.5g,Grow Op Farms Phat Panda Og Chem Flower 3.5g,renamed
27844,Phat Panda Flower Golden Pineapple - 7g,Grow Op Farms Phat Panda Golden Pinaepple Flower 7g,renamed
27843,Phat Panda Flower Golden Pineapple - 3.5g,Grow Op Farms Phat Panda Golden Pineapple Flower 3.5g,renamed
27842,Phat Panda Flower-Biscuits & Gravy-7g,Grow Op Farms Phat Panda Biscuits Gravy Flower 7g,renamed
27841,Phat Panda Flower-Biscuits & Gravy-3.5g,Grow Op Farms Phat Panda Biscuits Gravy Flower 3.5g,renamed
27840,Neon Nectar Bong Buddies,Grow Op Farms Phat Panda Bong Buddies Neon Nectar Flower 2g,renamed
27839,Golden Pineapple Bong Buddies 2g,Grow Op Farms Phat Panda Golden Pineapple Flower 2g,renamed
27838,Black Zoap Bong Buddies,Grow Op Farms Phat Panda Bong Buddies Black Zoap Flower 2g,renamed
27837,Banana Pudding Bong Buddies,Grow Op Farms Phat Panda Bong Buddies Banana Pudding Flower 2g,renamed
27836,Phat Panda Pre-roll Trophy wife - 1g,Grow Op Farms Phat Panda Trophy Wife Pre-roll 1g,renamed
27835,Phat Panda Pre-roll MAC Stomper,Grow Op Farms Phat Panda Mac Stomper Pre-roll 1g,renamed
27834,Phat Panda Pre-roll Grand Daddy Purple - 1g,Grow Op Farms Phat Panda Grand Daddy Purple Pre-roll 1g,renamed
27833,Phat Panda Pre-roll Chronberry Crunch,Grow Op Farms Phat Panda Chronberry Crunch Pre-roll 1g,renamed
27832,Phat panda Pre-roll Triple Burger 1g,Grow Op Farms Phat Panda Triple Burger Pre-roll 1g,renamed
27831,Phat Panda-Preroll-Rip Tide-1g,Grow Op Farms Phat Panda Rip Tide Pre-roll 1g,renamed
27830,Phat Panda Pre-roll OG Chem - 1g,Grow Op Farms Phat Panda Og Chem Pre-roll 1g,renamed
27829,Phat Panda Pre-roll Golden Pineapple - 1g,Grow Op Farms Phat Panda Golden Pineapple Pre-roll 1g,renamed
27828,Phat Panda-Preroll-Banana Pudding-1g,Grow Op Farms Phat Panda Banana Pudding Pre-roll 1g,renamed
27827,Phat Panda Preroll-Apple MAC-1g,Grow Op Farms Phat Panda Apple Mac Pre-roll 1g,renamed
27826,Phat Panda Cartridge White Gummy,Grow Op Farms Phat Panda White Gummy Cartridge 1g,renamed
27825,Panda Pen Watermelon Mojito,Grow Op Farms Phat Panda Watermelon Mojito Cartridge 1g,renamed
27824,Phat panda Cartridge Raspberry Skywalker 1g,Grow Op Farms Phat Panda Raspberry Skywalker Cartridge 1g,renamed
27823,Panda Pen Banana Runtz - 1g,Grow Op Farms Phat Panda Banana Runtz Cartridge 1g,renamed
27822,Phat Panda Cartridge Raspberry Kush 1g,Grow Op Farms Phat Panda Raspberry Cartridge 1g,renamed
27821,Phat panda Cartridge Berry Gelato 1g,Grow Op Farms Phat Panda Berry Gelato Cartridge 1g,renamed
27820,Hot Sugar Fruit Drops Watermelon - 2.7oz,Grow Op Farms Hot Sugar Sour Blue Raspberry Fruit Chews 2.7oz,renamed
27819,Hot Sugar Fruit Drops Peach Mango - 1.76oz,Grow Op Farms Hot Sugar Peach Mango Fruit Chews 1.76oz,renamed
27818,Hot Sugar Gummiez Blue Raspberry LR Indica,Grow Op Farms Hot Sugar Blue Raspberry Gummies 65g,renamed
27817,Hot Sugar Gummiez Huckleberry CBN,Grow Op Farms Hot Sugar Huckleberry Gummies 2.29oz,renamed
27816,Full Spec-Live Resin-Gummies-Cherry Elderberry-THC/CBN-100mg,Edgemont Group Llc Full Spec Cherry Elderberry Edible 0.95oz,renamed
27815,Full Spec-Live Resin-Gummies-Blueberry Lavender-THC/CBN-100mg,Edgemont Group Llc Full Spec Blueberry Lavender 1:1 Edible 0.95oz,renamed
27814,Full Spec-Live Resin-Gummies-Pineapple Yuzu-CBG/CBD/THC-100mg,Edgemont Group Llc Full Spec Pineapple Yuzu 1:1 Edible 0.95oz,renamed
