Id,Old Name,New Name,Notes
,Downtown live resin Comatoast 1g,Downtown Comatoast Live Resin 1g,no_vendor_column;no_cannabinoid_columns;master_of_4_duplicates;renamed
,1937 - Pre-Rolls .5 x 2 pack - Cobra Chi 9 - 1g,1937 Cobra Chi 9 Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Seattle's Private Reserve Flower Gushers - 1g,Seattle's Private Reserve Gushers Flower 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Freddy's Fuego Flower - Ethos Apex - 3.5g (Flagship,Freddy's Fuego Ethos Apex Flower 3.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Legacy Truffles - Golden Truffle - Legacy Loco - 1g,Legacy Organics Legacy Loco Mix Infused Flower 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Sitka Classic Lebanese Red Hashish Joint (I),Sitka Lebanese Red Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,420 Bar Chocolate Create 1:1 - 3.17oz,420 Bar Create 1:1 Chocolate 3.17oz,no_vendor_column;no_cannabinoid_columns;renamed
,HighTide Flower Gumi - 3.5g,Hightide Gumi Flower 3.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Major Shot Gingerade sugar free,Major Gingerade Shots 60ml,no_vendor_column;no_cannabinoid_columns;renamed
,Cannabis Northwest - Shatter - Lemon Skunk - 1g,Cannabis Northwest Lemon Skunk Shatter 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Seattle Bubble Works Flower Blunt - Permanent Marker (I) - 3g,Permanent Marker Blunt 3g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Top Shelf Joints - Kimbo Kush 1g x 28 Pack,Top Shelf Kimbo Kush Pre-roll 28g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,FDG Pre-Rolls - Purple Diesel - 4pk (0.5g x 4),Fdg Purple Diesel Pre-roll 2g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Journeyman Beverage Strawberry Lemonade - 2oz,Journeyman Strawberry Lemonade Beverage 2floz,no_vendor_column;no_cannabinoid_columns;renamed
,Royal Kind Flower Miracle Cookies - 3.5g,Royal Kind Miracle Cookies Flower 3.5g,no_vendor_column;no_cannabinoid_columns;renamed
,Skagit Organics RSO 9# Hammer - 1g,Skagit Organics 9 Hammer RSO 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Truffle Cake Cured Cart [1g],Lifted Truffle Cake Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,ThunderChief - Pre-Rolls 2x0.5g TC - BlackBerry - 1g,Thunder Chief Blackberry Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Green Revolution Tincture Anytime 2000 - 3.2oz,Green Revolution Anytime 2000 Tincture 3.2oz,no_vendor_column;no_cannabinoid_columns;renamed
,WALBOLD - Pink Lemonade Sugar Wax,Walden Pink Lemonade Bho 1g,no_vendor_column;no_cannabinoid_columns;master_of_3_duplicates;renamed
,2727 - Infused - 2727 - Tigers Blood - 1g,2727 Tigers Blood Infused Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Frostco - Solventless Vape - GMO Cocoa - .5g,Frostco Gmo Cocoa Disposable Cartridge 0.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Canna Organix Flower Pink Certz - 1g,Canna Organix Pink Certz Flower 1g,no_vendor_column;no_cannabinoid_columns;renamed
,House of Cultivar Pre-roll Rntz S1 - 1g,House Of Cultivar Rntz S1 Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,Clout King: Milk Steak - PR 2pk - 1g,Clout King Milk Steak Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Mama J's Flower Bubblegum Gelato 14g,Mama J's Bubblegum Gelato Flower 14g,no_vendor_column;no_cannabinoid_columns;renamed
,JAR_XTRA_DRAGON_BALM_CBD_2oz,Ceres Xtra Dragon CBD Topical 2oz,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Yellow Jackets pre-roll Runtz & Gary Payton (H),Picc Runtz X Gary Payton Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;renamed
,CannaSol - Pre Rolls - DOH Tested - Shiva's Nectar - 1.5g,Cannasol Shiva's Nectar Pre-roll 1.5g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Cured Resin Blunt - Jack Black - 2g,Fire Bros Jack Black Blunt 2g,no_vendor_column;no_cannabinoid_columns;renamed
,Full Spec - Cadet - Cartridge - 1g - (I) Slurricane,Full Spec Slurricane Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Solr Bear - Live Rosin XL - Cartridge - 1g - (HI) Papaya Punch,Solr Bear Papaya Punch Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Ooowee - JUICED 1G C.R HTE Disposable - Honeydew - 1g,Ooowee Honeydew Disposable Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Lifted Cannabis-Pre-roll-Burnout #33-1g,Lifted Burnout 33 Pre-roll 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
,Full Spec Elite Cartridge  MOTAvated (SH),Full Spec Motavated Cartridge 1g,no_vendor_column;no_cannabinoid_columns;master_of_2_duplicates;renamed
