Id,VendorNo,LicenseNo,TradeName,DBA,Phone,ShippingAddress1,ShippingAddress2,ShippingCity,ShippingState,ShippingZip,BillingAddress1,BillingAddress2,BillingCity,BillingState,BillingZip,IsActive,BillingAddressSameAsShipping,TotalAcceptedYtd,LastDateAccepted
1,6029325450020001,412043,HYDRO LIGHT,HYDRO LIGHT,(509) 607-4030,"340 POWERLINE RD, SUITE A",,CLE ELUM,WA,98922-8384,,,,,,true,true,,
2,6031327110010003,412051,OVER THE TOP PROD,OVER THE TOP PROD,,640 S SPOKANE ST STE B,,SEATTLE,WA,98134-2225,,,,,,true,true,,
3,6033257270010001,412079,CANNAMAN FARMS,CANNAMAN FARMS,(360) 608-9883,6212 NE 152ND AVE,# A,VANCOUVER,WA,98682-5109,,,,,,true,true,,
4,603334588,426534,THE WERC SHOP WA,THE WERC SHOP WA,,1412B S CLOVERDALE ST,,SEATTLE,WA,98108-4825,,,,,,true,true,,
5,6033464070010001,412134,ELEMENT,ELEMENT,,20015 67TH AVE NE,STE E,ARLINGTON,WA,98223-8756,,,,,,true,true,,
6,6033495550010001,412158,SALMON CREEK SINSEMILLA,SALMON CREEK SINSEMILLA,(360) 687-0303,1199 W CUNNINGHAM RD STE C,,OTHELLO,WA,99344-0000,,,,,,true,true,,
7,6016730670010002,412194,FIREWEED FARMS,FIREWEED FARMS,(509) 778-1597,133302 W JOHNSON RD STE A,,PROSSER,WA,99350-7503,,,,,,true,true,,
8,6033526310010001,412195,GROWING LIKE A WEED,GROWING LIKE A WEED,(509) 701-6961,16315 E TEMPLE RD STE C,,SPOKANE,WA,99217-9233,,,,,,true,true,,
9,6033667470010001,412199,BACKWOODS ORGANIC GARDEN,BACKWOODS ORGANIC GARDEN,,5016 E ELK TO HWY RD,STE A,ELK,WA,99009-0000,,,,,,true,true,,
10,6033354110010001,412220,WASHINGTON SOURCE,WASHINGTON SOURCE,,1120 S FAIRCHILD ST,STE B,MEDICAL LAKE,WA,99022-0000,,,,,,true,true,,
11,6032717830010001,412230,KRUSSEL FARMS,KRUSSEL FARMS,(360) 481-4462,7736 THORNBURG ST SW STE C,SUITE C,OLYMPIA,WA,98512-2364,,,,,,true,true,,
12,6034644300010001,412231,FARMERS DISTRIBUTORS,FARMERS DISTRIBUTORS,,1655 ROAD 4 NE,STE E,COULEE CITY,WA,98115-0000,,,,,,true,true,,
13,6033453920010002,412275,FORBIDDEN FARMS,FORBIDDEN FARMS,(253) 820-3904,421 SE SELLS DR SUITE A,,SHELTON,WA,98584-7790,,,,,,true,true,,
